place_id,name,place_kind,subtype,accessibility_rating,condition_rating,lat,lon,source_file
furniture-1548100,Seat - Stainless Steel Bench - Docklands,street_furniture,Seat,,3.44,-37.82128583538912,144.94687482469607,street_furniture_clean.csv
furniture-1558674,Seat - Flat Bench Seat - L Shaped,street_furniture,Seat,,3.11,-37.80650426208143,144.95569169285616,street_furniture_clean.csv
furniture-1560232,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,street_furniture,Drinking Fountain,,3.41,-37.81262231879966,144.95695726799045,street_furniture_clean.csv
furniture-1561012,Seat - Metal Seat,street_furniture,Seat,,3.17,-37.81730003238528,144.9606888597444,street_furniture_clean.csv
furniture-1565472,Seat - Flat Bench Seat - L Shaped,street_furniture,Seat,,3.14,-37.80330178470176,144.9497014380655,street_furniture_clean.csv
furniture-1556988,Seat - Stainless Steel Straight Seat - Station Street Park,street_furniture,Seat,,4.0,-37.797457092593206,144.97391741255436,street_furniture_clean.csv
furniture-1556989,Seat - Stainless Steel Straight Seat - Station Street Park,street_furniture,Seat,,4.0,-37.797482080691765,144.97400270167176,street_furniture_clean.csv
furniture-1556993,Seat - Stainless Steel Straight Seat - Station Street Park,street_furniture,Seat,,3.0,-37.79688949488179,144.974014917376,street_furniture_clean.csv
furniture-1573396,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,street_furniture,Drinking Fountain,,3.44,-37.81237811232576,144.96521212904446,street_furniture_clean.csv
furniture-1579598,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,street_furniture,Drinking Fountain,,3.45,-37.79382278780376,144.958038101861,street_furniture_clean.csv
furniture-1579834,Seat - Metal Seat - Kensington Banks Type,street_furniture,Seat,,1.59,-37.79487114340004,144.9196175983375,street_furniture_clean.csv
furniture-1579962,Seat - Straight Seat - Wooden Battens - Type 2,street_furniture,Seat,,5.0,-37.81522137047861,144.9793020267878,street_furniture_clean.csv
furniture-1586949,Picnic Setting - Urban Design Style - Newmarket Reserve,street_furniture,Picnic Setting,,4.0,-37.78768212838772,144.92190952902817,street_furniture_clean.csv
furniture-1589219,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,street_furniture,Seat,,3.0,-37.79570120993257,144.95181633101606,street_furniture_clean.csv
furniture-1589365,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,street_furniture,Drinking Fountain,,4.0,-37.80530265416531,144.96955831322754,street_furniture_clean.csv
furniture-1589753,Seat - Metal Seat - Reeves Street Park,street_furniture,Seat,,4.0,-37.793495366235376,144.97047067227408,street_furniture_clean.csv
furniture-1589840,Seat - Wooden Slats set in Stonework,street_furniture,Seat,,3.16,-37.8185244552834,144.94417334552617,street_furniture_clean.csv
furniture-1589855,Seat - Wooden Slats set in Stonework,street_furniture,Seat,,3.16,-37.81811338560721,144.94526009167794,street_furniture_clean.csv
furniture-1589916,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,street_furniture,Drinking Fountain,,4.0,-37.81144127333384,144.95511626726946,street_furniture_clean.csv
furniture-1590044,Seat - Timber Bench - Clayton Reserve,street_furniture,Seat,,3.0,-37.79636859020291,144.93917947031954,street_furniture_clean.csv
furniture-1597176,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,street_furniture,Drinking Fountain,,3.4,-37.81152641068227,144.9728037168352,street_furniture_clean.csv
furniture-1600538,Seat - Straight Seat - Wooden Battens - Type 2 - Neill Street Reserve,street_furniture,Seat,,3.0,-37.79573818527973,144.96853465048085,street_furniture_clean.csv
furniture-1742340,Seat - Straight Seat - Wooden Battens - Type 2 - Hawke and Adderley Street Park,street_furniture,Seat,,4.0,-37.80886559865538,144.94476749586943,street_furniture_clean.csv
furniture-1742343,Picnic Setting - Urban Design Style - Hawke and Adderley Street Park,street_furniture,Picnic Setting,,4.0,-37.80877058944717,144.9450810151771,street_furniture_clean.csv
furniture-1743765,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.44,-37.820529414785184,144.94131782882013,street_furniture_clean.csv
furniture-1079232,Seat - Metal Seat,street_furniture,Seat,,2.99,-37.829579054958046,144.96842839448846,street_furniture_clean.csv
furniture-1079237,Seat - Metal Seat,street_furniture,Seat,,2.99,-37.830199981460765,144.9663154276194,street_furniture_clean.csv
