GIS_ID,DESCRIPTION,ASSET_CLASS,ASSET_TYPE,MODEL_NO,MODEL_DESCR,DIVISION,COMPANY,LOCATION_DESC,CONDITION_RATING,EVALUATION_DATE,EASTING,NORTHING,UploadDate,CoordinateLocation,lat,lon,CONDITION_CATEGORY
1119282,Seat - Straight Seat - Wooden Battens - Type 2 - Queen Victoria Gardens,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Queen Victoria Gardens approximately 93m SW of City of Melbourne, Alexandra Gardens, Alexandra Avenue, Melbourne, 3004",3.0,2019-08-21,321450.62,5812046.43,2021-08-14,"-37.82154018194043, 144.97135869659985",-37.82154018194043,144.97135869659985,Average
1119296,Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,Fawkner Park,3.0,2019-08-28,322255.2,5809669.38,2021-08-14,"-37.84310862244229, 144.97991098423773",-37.84310862244229,144.97991098423773,Average
1119299,Seat - Straight Seat - Wooden Battens - Type 2 - Flagstaff Gardens,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"William Street between La Trobe Street and A'Beckett Street approximately 33m SE of Flagstaff Lodge, Flagstaff Lodge, Flagstaff Gardens, 309 William Street, West Melbourne, 3003",3.0,2019-04-09,320072.93,5813163.5,2021-08-14,"-37.81120767000046, 144.95599235706675",-37.81120767000046,144.95599235706675,Average
1119344,Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens South,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,Carlton Gardens South,3.0,2019-03-09,321447.04,5813707.24,2021-08-14,"-37.80657969764952, 144.97172752720454",-37.80657969764952,144.97172752720454,Average
1119389,Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Fitzroy Gardens approximately 56m SE of City of Melbourne, Sinclairs Cottage, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",3.0,2019-08-30,322284.3,5812814.41,2021-08-14,"-37.81478527704376, 144.98101388000873",-37.81478527704376,144.98101388000873,Average
1119392,Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Fitzroy Gardens approximately 22m East of Serco Group Pty Limited, Conservatory, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",4.0,2019-08-30,322087.3,5812884.24,2021-08-14,"-37.81411790421621, 144.97879424422308",-37.81411790421621,144.97879424422308,Good
1119397,Seat - Straight Seat - Wooden Battens - Type 2 - Shrine of Remembrance Reserve,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,Shrine of Remembrance Reserve,4.0,2019-08-26,321547.24,5811352.98,2021-08-14,"-37.82780533898985, 144.97228487318694",-37.82780533898985,144.97228487318694,Good
1514357,Seat - Metal Bench,Outdoor Furniture,Seat,201101-012,Seat - Metal Bench,Infrastructure and Assets,City of Melbourne,"Swanston Street between Collins Street and Little Collins Street approximately 6m East of Starbucks, 117 Swanston Street, Melbourne, 3000",3.16,2021-04-30,320975.99,5812773.99,2021-08-14,"-37.81489371188043, 144.96614906102434",-37.81489371188043,144.96614906102434,Average
1546800,Seat - Unclassified,Outdoor Furniture,Seat,,,Parks and City Greening,City of Melbourne,"Errol Street Reserve approximately 48m NE of 217 Errol Street, North Melbourne, 3051",4.0,2019-09-19,319567.53,5814472.4,2021-08-14,"-37.79931811491286, 144.95058025270893",-37.79931811491286,144.95058025270893,Good
1547708,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,Seat - Metal Seat,Infrastructure and Assets,City of Melbourne,"Dorcas Street between St Kilda Road and Wells Street approximately 7m South of Quest On Dorcas, 8A Dorcas Street, Southbank, 3006",3.0,2021-04-30,321369.63,5811092.41,2021-08-14,"-37.83011766608409, 144.97020357730057",-37.83011766608409,144.97020357730057,Average
